exper_data_id	date_str	time_str	temperature	rel_humidity	pop_label	env_label	data_group_name	logDensity	logMeanTracksPerSecond	area.F	area.F.var	area.S	area.S.var	length.F	width.F	length.F.var	width.F.var	length.S	width.S	length.S.var	width.S.var	velocity	velocity.var	velocity.F	velocity.B	velocity.F.var	velocity.B.var	acceleration	acceleration.var	acceleration.F	acceleration.B	acceleration.F.var	acceleration.B.var	run	run.var	run.F	run.B	run.F.var	run.B.var	curvature	curvature.var	curvature.F	curvature.B	curvature.S	curvature.F.var	curvature.B.var	curvature.S.var
Block_0-20160627_080258_proc	20160627	80258	21.2	58	GA150L56	NGM	Block_0	4.53125211365882	4.68694497047143	0.0784909357798165	5.40931501116543e-05	0.0770526322629969	6.49822366504397e-05	0.71255504587156	0.0910224770642202	0.00511386775751128	0.00033488529303747	0.701634709480122	0.0908422018348624	0.00577376571002211	0.00035396071454463	0.0266995412844037	0.00107931514045912	0.0516064220183486	0.0648957951070336	0.000943230728932084	0.00153821579230114	-7.30886850152904e-05	0.000368683455661173	0.000939067278287462	0.000635091743119266	0.000495490086058347	0.000974765332231017	6.52064220183486	1317.67817241264	7.13455657492355	5.74006116207951	194.851853453272	16.2296874862963	24.9566513761468	63.3143684504539	26.7587155963303	26.8908256880734	23.9998470948012	63.2916592158704	57.3744765763021	61.0186984859237
Block_0-20160627_083503_proc	20160627	83503	21.4	58	GA150L56	NaCl	Block_0	4.42838997674429	4.55676119435918	0.0468266026119403	2.45457498849918e-05	0.0464085279850746	3.16442678683705e-05	0.515261100746269	0.0696435634328358	0.0031466386606047	0.000260835448436448	0.512259888059701	0.0692536380597015	0.00373537197899186	0.000285585621001483	0.0274665111940299	0.00110728629718899	0.0589794776119403	0.0711491604477612	0.000997319898417807	0.00132135915302493	-0.000185541044776119	0.000345858203723718	0.00205625	0.00319990671641791	0.000494216429817079	0.000921477940026619	5.00186567164179	896.013891911511	4.83022388059702	4.81809701492537	98.5618779190037	17.4692543832004	22.5983208955224	59.2308818560812	24.0549440298507	24.354197761194	21.7840485074627	57.2413086851702	51.3286523225805	58.2938662848266
Block_0-20160627_090745_proc	20160627	90745	21.8	58	GA450L30	NaCl	Block_0	5.19515462927704	5.31903516024805	0.060744117357695	1.71830264387839e-05	0.0604727378777231	2.18267224040733e-05	0.617511033028812	0.0769815179198876	0.00226417356896356	0.000182810741850177	0.617024068868588	0.0767498594518623	0.00279536533664057	0.000187498298892247	0.0271272312016866	0.000868141638634387	0.046701616303584	0.0601456078706957	0.000651907291550032	0.00106653250555926	-9.86296556570624e-05	0.000222007471099364	0.000868025298664793	0.00200667603654252	0.000220337845187779	0.000679035279921242	6.47716092761771	362.434378911666	7.80252986647927	6.5474349964863	176.096186099035	19.7459386152989	28.5980323260717	68.8270598206229	29.5310611384399	30.1734012649332	27.728320449754	67.2924034714749	58.5060180015019	66.6291410243694
Block_0-20160627_093623_proc	20160627	93623	22.3	59	GA150L12	NGM	Block_0	4.57715636868488	4.78031772350751	0.0989218137398971	4.03958513901115e-05	0.0977846601763409	7.91030368781467e-05	0.83604309331374	0.100819213813373	0.00400650165735618	0.000303565029248811	0.820600146950772	0.102221234386481	0.00809105338422241	0.00050955975920322	0.0517871050698016	0.00150512512828096	0.0643825863335783	0.0710437545922116	0.00115804383572197	0.00152266662677889	7.59368111682588e-05	0.000377777371587768	0.000137582659808964	0.000505069801616459	0.000301240827208085	0.00085408157998426	8.68258633357825	575.640871235123	18.9662013225569	8.85451873622337	832.445430355192	43.5922101099275	32.5811168258633	88.6790736092643	33.36994856723	34.4105437178545	30.7634092578986	83.1915790884659	74.56430314479	87.0432639288502
Block_0-20160627_101021_proc	20160627	101021	22.1	58	GA250L24	NaCl	Block_0	5.31164456956585	5.48853109036332	0.0507415070342205	1.7539329193592e-05	0.0505749049429658	2.5052737015681e-05	0.558307623574145	0.0693487642585551	0.00246264748399445	0.000208002009374854	0.556020627376426	0.0694261216730038	0.00344586198164317	0.000225561535614819	0.0436622053231939	0.00175180259514486	0.0650522053231939	0.0917924144486692	0.00121967181008132	0.00210457923829013	-0.000150532319391635	0.00047785262944153	0.00100271863117871	0.00287192015209125	0.000487574953971467	0.00147975325904974	6.17509505703422	219.61325709954	8.69543726235741	6.60874524714829	284.522563426534	20.5926743544877	25.6336311787072	56.614288646625	26.1523003802281	26.227927756654	25.1159885931559	55.1900011197513	48.5271779034732	56.9250763332083
Block_0-20160627_103918_proc	20160627	103918	22.1	58	GA250L24	NGM	Block_0	5.0657713402671	5.23158530633741	0.0868966679030663	3.5610153623669e-05	0.086267909248269	4.39028672587409e-05	0.760600964391691	0.0960760633036597	0.00395934596331583	0.000291243250828355	0.755503214638971	0.0964618447082097	0.00507802273115343	0.000332710558798893	0.0362797725024728	0.00126357596277724	0.0521583333333333	0.0688764589515331	0.000904507693716777	0.00154764060652954	-0.000127497527200791	0.000391414633738471	0.000267680514342235	-0.000551953511374877	0.000329745133524846	0.00100923117705997	7.18273986152324	321.301004939877	10.3325914935707	6.71983184965381	178.527337757749	14.0280484740737	30.5708456973294	69.0758630629208	31.196587537092	31.6705489614243	29.7216617210682	69.199442644123	59.835618991181	65.5297978981824
Block_0-20160627_111251_proc	20160627	111251	22.1	58	GA250L51	NaCl	Block_0	3.86927885873251	3.96910199003118	0.0463003709677419	2.67967837375077e-05	0.0455126198156682	3.36276208854546e-05	0.521909907834101	0.0668612903225806	0.00274013866419867	0.000206098633972957	0.510683640552995	0.067444930875576	0.00387018920298443	0.000271710146962272	0.0367668202764977	0.00127421722916873	0.0765997695852535	0.0792292626728111	0.000947276211472717	0.00159708989908515	-0.000143087557603687	0.000291990212609678	0.0020610599078341	0.00448571428571429	0.000426895946063412	0.000951801065327705	3.02534562211982	1648.72389258868	3.06221198156682	3.18202764976959	110.443382656135	10.7144561042942	25.2889400921659	65.5152969909558	26.3423963133641	26.8400921658986	24.7172811059908	51.4826094622461	61.501742145724	70.3780227763619
Block_0-20160627_114301_proc	20160627	114301	22.1	58	GA250L51	NGM	Block_0	4.39318668157456	4.56069850846807	0.0835905515695067	2.70086341424045e-05	0.0827180381165919	4.20524138795194e-05	0.751901270553064	0.0919534379671151	0.00324935403414967	0.000218220589119397	0.744454783258595	0.0921156950672646	0.00462522970588787	0.000281753955730523	0.0389223467862481	0.00133127210274135	0.056922197309417	0.0703369955156951	0.0010079686557118	0.00153250098083348	-0.000186397608370703	0.000286764380752207	0.000343423019431988	-0.000659342301943199	0.000258067182676528	0.000805897727677687	7.60089686098655	645.294772869876	11.7840059790732	7.22571001494768	631.332633615796	25.4415738474046	29.7137518684604	64.4665493306146	30.4173393124066	31.0751121076233	28.881091180867	64.0096928120238	56.2424023596859	64.161358463855
Block_0-20160627_121402_proc	20160627	121402	22.2	59	GA450L38	NGM	Block_0	4.69110823409448	4.8585603472474	0.0952745283964365	2.57950950663256e-05	0.094927491091314	3.64264697051879e-05	0.817547243875278	0.0996193485523385	0.00332243627236242	0.00038858329510045	0.810105233853007	0.100773218262806	0.0042536104598178	0.000377118499474885	0.0929512249443207	0.0024391225099598	0.100289086859688	0.116455038975501	0.00167194637952454	0.00318778852313362	-0.000289504454342984	0.00099878463421759	-0.000486275055679287	-0.00212385857461024	0.000658044343432485	0.00226994012566896	7.01948775055679	349.740514564196	14.4674276169265	6.64365256124722	364.678813957775	31.6372421321006	28.7831013363029	73.149756211831	29.2472995545657	29.592065701559	28.1734131403118	73.6534897339767	62.7375937885384	59.6849555728424
Block_0-20160627_131111_proc	20160627	131111	22.2	59	GA450L38	NaCl	Block_0	4.84853304723025	4.98576280368395	0.0577312239382239	2.15821544990527e-05	0.0571549913127413	2.51772822808165e-05	0.597164382239382	0.0764037644787645	0.0028356376925238	0.000232824593331082	0.594303523166023	0.0764355212355212	0.00303521211579797	0.000230413694691248	0.0266176158301158	0.000996586764628727	0.0532256274131274	0.064853667953668	0.000807147141010558	0.00104566022736908	-0.000176496138996139	0.000296348038131548	0.00102166988416988	0.00128397683397683	0.000375069752977619	0.000680263213627999	6.30453667953668	841.7242964708	6.63272200772201	5.83204633204633	72.3499244127759	19.9144391103986	24.9476833976834	58.4710512230351	26.0742277992278	26.083638996139	24.4020752895753	61.100117798387	53.6072979151503	53.3517602419989
Block_0-20160627_134334_proc	20160627	134334	22.3	59	GA150L12	NGM	Block_0	4.57774690477925	4.82511107389287	0.0931947004025302	3.10028359902168e-05	0.0919239094307073	0.000609219367593198	0.80026874640598	0.0994999712478436	0.00574500530579028	0.000583426683917425	0.761527372052904	0.10762067280046	0.0140036567897347	0.00120459849263172	0.13796273720529	0.00293468863756971	0.142438614146061	0.139261155836688	0.0022232229849821	0.00331219166190663	0.000220126509488211	0.00111503820167032	0.000583985048878666	-0.000142811960897068	0.000844720334863255	0.00238429145317443	6.12535940195515	647.698044604211	20.9905117883841	7.15238642898217	1180.81418616082	52.630915197992	33.3405117883841	91.7188870932109	33.4505175388154	33.8361414606095	32.7207590569293	85.5832836426874	90.1932234353887	104.433796794349
